agency_name,broker_id,score,property_fee,house_count,building_count,floor,price,rent_type,pay_type,direction,room_type,is_broker,floor_total,complete_time,hall_num,room_num,area,toilet_num, 公交, 医院, 地铁, 学校, 旅游景点, 美食, 购物, 酒店, 银行,distance1000,distance1500,distance2000,distance500,crawl_time,decoration,district,zone,facilities
我爱我家,fang_2120634,34.95,1.8,396,2,低,4700,整租,年付不押,南北,,1,6,2002,1,2,65,1,20,20,9,20,20,20,20,20,20,91,119,99,100,2018/1/16 8:00,精,海淀,上地,
,,43.94,1.8,1165,9,高,1700,合租,不限,北,次,0,6,2010,0,1,16,1,20,20,9,20,20,20,20,20,20,151,135,58,49,2018/1/16 13:00,简,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
华程,fang_1873796,25.81,1.8,277,1,中,2200,合租,押三付六,北,次,1,16,2005,1,3,15,1,20,20,13,20,20,20,20,20,20,122,45,91,57,2018/1/16 18:00,中,海淀,定慧寺,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
我爱我家,fang_2227279,25.64,1.8,929,13,中,12000,整租,(押一付三 ),南,,1,21,1980,1,2,120,1,20,9,,20,6,20,20,17,20,98,74,28,15,2018/1/16 23:00,中,海淀,万柳,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
,,31.23,1.84,1152,6,低,6600,整租,可支持分期月付,,,0,10,2005,2,2,79,1,20,20,17,20,20,20,20,20,20,113,105,36,81,2018/1/17 4:00,精,海淀,马连洼,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台
链家地产,fang_2238499,55.77,1.88,128,1,低,7000,整租,押二付一,东南,,1,28,1999,1,2,99,1,20,20,16,20,20,20,20,20,20,94,79,65,73,2018/1/17 9:00,中,海淀,公主坟,
,,17.29,1.88,1834,20,中,1500,整租,押零付十二,南北,,0,17,2009,1,1,45,1,20,20,5,20,20,20,20,20,20,104,138,41,34,2018/1/17 14:00,中,海淀,清河,床
居顺康,fang_2199253,23.46,1.9,956,9,中,15000,整租,付五,西南,,1,20,2010,1,3,150,1,20,9,6,20,20,20,20,20,20,80,79,94,38,2018/1/17 19:00,中,海淀,北大清华,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
我爱我家,fang_1757365,24.53,1.98,932,23,高,4900,整租,押二付年,南,,1,16,2010,1,1,52,1,20,20,6,20,20,20,20,20,20,106,71,86,66,2018/1/18 0:00,精,海淀,定慧寺,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
我爱我家,fang_2210603,18.7,1.98,1416,7,中,4500,整租,押0付11,南北,,1,6,2001,1,2,75,1,20,20,5,20,20,20,20,20,20,70,86,81,63,2018/1/18 5:00,简,海淀,军博,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
蛋壳公寓,fang_2248642,60.62,1.98,1196,4,中,1700,合租,"(押一付一) 分期付,0压力 月供:436 元 利息:36 我要申请",南,主,1,28,2002,1,3,21,1,20,18,6,20,18,20,20,20,20,156,80,36,43,2018/1/18 10:00,中,海淀,五道口,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
亿成房地产,fang_2179487,44.95,2,112,1,中,3900,整租,(押一付半年),南,,1,6,1989,0,1,50,1,20,20,8,20,20,20,20,20,20,107,61,56,70,2018/1/18 15:00,中,海淀,马连洼,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
